Year,Bream,Bream_low,Bream_up,Perch,Perch_low,Perch_up,Pikeperch,Pikeperch_low,Pikeperch_up,Roach,Roach_low,Roach_up,White_bream,White_bream_low,White_bream_up
1992,0.137810374,0.083973131,0.207803965,0.122538963,0.069931159,0.20077736,0.131466561,0.090334008,0.204699014,0.149232982,0.097169158,0.225728826,0.002762533,0.00168162,0.004593103
1993,0.10727862,0.063937604,0.160619878,0.08849756,0.049353708,0.14914328,0.069233901,0.047078741,0.10890271,0.109790068,0.072091663,0.163126636,0.001507486,0.000947116,0.002335899
1994,0.115549539,0.070048191,0.173018971,0.083684477,0.04635575,0.142266569,0.061817341,0.042205322,0.094172041,0.077532478,0.052242772,0.113201673,0.000688805,0.00044432,0.001004317
1995,0.106775164,0.064577347,0.161400743,0.064074307,0.035717857,0.110160061,0.060131798,0.041550751,0.088941233,0.068807823,0.047130931,0.097142803,0.000715525,0.000464812,0.001008939
1996,0.102639857,0.0622431,0.155393911,0.05141674,0.028704935,0.087832561,0.056514469,0.039713868,0.081492764,0.081601315,0.056780901,0.113186542,0.00380453,0.002489302,0.005274014
1997,0.111785168,0.067868735,0.16896764,0.066237568,0.03741188,0.111769978,0.069242598,0.049113283,0.097407388,0.124670456,0.087953696,0.169930379,0.005936434,0.003878168,0.008179126
1998,0.104502919,0.062866664,0.160086059,0.062757915,0.035432484,0.104501811,0.05266311,0.037578572,0.073059111,0.142141819,0.099582075,0.195006626,0.007575884,0.004994665,0.010389915
1999,0.109096935,0.065452598,0.166955299,0.08958771,0.050859396,0.146431079,0.098078228,0.070348621,0.134244444,0.175649855,0.123262772,0.242131484,0.003949896,0.002638091,0.005399836
2000,0.107797658,0.063410384,0.164460726,0.068423996,0.038964623,0.112011765,0.109145808,0.078238338,0.149535059,0.179572205,0.125339546,0.249123083,0.011392814,0.007572924,0.015685018
2001,0.109916529,0.065107154,0.169433736,0.071206296,0.040841444,0.115440853,0.11945092,0.084355926,0.164589258,0.196100078,0.138220729,0.273859216,0.026183949,0.017595504,0.036307004
2002,0.114167359,0.066547498,0.176555238,0.067414591,0.038965253,0.109140361,0.132712894,0.093683008,0.184310029,0.229958962,0.160116329,0.325604403,0.031694639,0.021181667,0.043875581
2003,0.099735929,0.057868534,0.155172826,0.061910117,0.035852341,0.09950236,0.146000873,0.102608053,0.205789815,0.259531298,0.178772341,0.374101256,0.038756788,0.025862949,0.054357408
2004,0.109267342,0.063987697,0.170870394,0.060254548,0.034873948,0.095968462,0.152935012,0.10747602,0.218420819,0.286912309,0.195220239,0.416538226,0.048474737,0.032029516,0.068407989
2005,0.102496771,0.059864433,0.160264127,0.066345961,0.038643861,0.105354414,0.143098794,0.10021008,0.205800312,0.247985065,0.164245371,0.366537966,0.052693481,0.034784099,0.075144532
2006,0.106070789,0.062690902,0.165131177,0.054181551,0.031847528,0.085857734,0.14464182,0.101431627,0.208941233,0.223524076,0.147837634,0.33248264,0.065486194,0.042776976,0.093471744
2007,0.112078019,0.066491334,0.174906887,0.061417531,0.036350103,0.09525149,0.157870102,0.11132823,0.226755427,0.255598892,0.169870431,0.371597637,0.071979754,0.046862367,0.103210391
2008,0.106857497,0.062964497,0.16635549,0.066444815,0.039107035,0.102999706,0.160683774,0.114556151,0.229661203,0.231212143,0.154273879,0.33613145,0.080965277,0.051694021,0.116709157
2009,0.099447089,0.059002934,0.15429124,0.082379831,0.048646368,0.126492397,0.16166863,0.115646446,0.226501055,0.259830059,0.175050434,0.370429083,0.084526558,0.053537253,0.121709255
2010,0.101083781,0.060589796,0.155219288,0.090302799,0.053160216,0.138437143,0.177072379,0.128274677,0.248302105,0.249505452,0.168852783,0.359898184,0.117629894,0.073421163,0.167619831
2011,0.111151454,0.066704072,0.170640643,0.11119756,0.064358987,0.170798405,0.195571658,0.143221304,0.271139739,0.276465825,0.189070248,0.396984201,0.059599223,0.036216801,0.086087775
2012,0.105899803,0.063449255,0.162974097,0.120118742,0.066377827,0.185119355,0.188134102,0.138535015,0.261904648,0.26531049,0.18138919,0.384422804,0.144613593,0.087719773,0.204184498
2013,0.114966678,0.068946903,0.176310223,0.122584634,0.066699689,0.193886557,0.210064464,0.156904885,0.288253504,0.264690178,0.178952983,0.38074832,0.097136017,0.058013218,0.138394902
2014,0.113138305,0.067201577,0.174645683,0.087897497,0.047220806,0.141246062,0.241593728,0.181729485,0.328505112,0.300769498,0.19951725,0.43057478,0.155542563,0.092603774,0.217445479
2015,0.108321569,0.063514486,0.167275693,0.10811907,0.05739756,0.17685721,0.26379373,0.197449337,0.355680401,0.335232836,0.214120358,0.479285678,0.213929071,0.122680826,0.303663716
2016,0.119864739,0.071261728,0.185639586,0.104121188,0.054321386,0.175323984,0.257012102,0.191066527,0.347130885,0.321565941,0.195477162,0.46059698,0.232014253,0.125315214,0.340154837
2017,0.119494533,0.069632894,0.187313344,0.143075082,0.074877371,0.24691496,0.255069403,0.187583397,0.340080722,0.331882426,0.192115859,0.480085004,0.254973015,0.127891845,0.388917162
2018,0.11111689,0.063863857,0.175208177,0.105106854,0.055238525,0.194009081,0.2602374,0.191203269,0.343328232,0.250191789,0.138931683,0.371035153,0.182630146,0.082807518,0.300341462
2019,0.128666103,0.075055507,0.20637524,0.167234155,0.086728911,0.316054286,0.319981021,0.232883826,0.414746397,0.298751607,0.162448075,0.441898237,0.282925813,0.123707596,0.494298389
2020,0.129390265,0.073825602,0.213380921,0.207276366,0.103453756,0.430351182,0.379170046,0.265932221,0.490248581,0.330444733,0.173064011,0.50193936,0.280928878,0.111447548,0.594543373
2021,0.127422525,0.072203112,0.217074672,0.205740492,0.096355709,0.519489666,0.406879835,0.266958201,0.562466911,0.296177879,0.147628531,0.487802642,0.204545462,0.075119801,0.676078512
